method_1, method_id1, method_2, method_id2, in_sim, out_sim, total_sim 
p4.A-get-(I+I+I+[Z),70,p6.CountingSheep2-doit-(J),22,0.2,0.5,0.20537272095680237
p4.A-run-(),2,p9.Main2$1-accept-(java.io.File+java.lang.String),8,0.0,1.0,0.2795308530330658
p3.Main3$FastScanner-nextInt-(),15,p9.FastScanner-nextInt-(),424,0.0,0.5,0.1541716754436493
p7.CountingSheepMain-isComplete-([Z),21,p9.TaskA-solve-(I+p9.FastScanner+p9.FastPrinter),31,0.0,1.0,0.2795308530330658
p4.A$FastScanner-next-(),175,p9.Main2$1-accept-(java.io.File+java.lang.String),8,0.0,0.5,0.1541716754436493
p4.A-get-(I+I+I+[Z),70,p5.CountingSheep-solve-(I),1,0.2,0.0,0.10408727824687958
p9.FastScanner-nextInt-(),424,p9.TaskA-solve-(I+p9.FastScanner+p9.FastPrinter),31,0.0,0.5,0.1541716754436493
p5.CountingSheep-solve-(I),1,p7.CountingSheepMain-isComplete-([Z),6,0.5,0.0,0.1541716754436493
p9.FastScanner-next-(),417,p9.FastScanner-tryReadLine-(),419,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),46,p7.CountingSheepMain-solution-(),4,0.0,1.0,0.2795308530330658
p4.A$FastScanner-nextInt-(),159,p7.CountingSheepMain-solution-(),4,0.0,0.5,0.1541716754436493
p9.FastScanner-nextInt-(),424,p9.Main2$1-accept-(java.io.File+java.lang.String),8,0.0,0.5,0.1541716754436493
p4.A$FastScanner-nextInt-(),159,p9.FastScanner-next-(),185,0.0,0.3333333333333333,0.12450573593378067
p4.A-run-(),2,p9.TaskA-solve-(I+p9.FastScanner+p9.FastPrinter),31,0.0,1.0,0.2795308530330658
p7.CountingSheepMain-solution-(),4,p9.Main2$1-accept-(java.io.File+java.lang.String),8,0.0,1.0,0.2795308530330658
p4.A$FastScanner-next-(),175,p4.A-run-(),2,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-read-(),13,p6.CountingSheep2-doit-(J),1,0.0,1.0,0.2795308530330658
p9.FastScanner-next-(),185,p9.FastScanner-nextInt-(),424,0.0,0.3333333333333333,0.12450573593378067
p3.Main3$FastScanner-read-(),47,p4.A$FastScanner-next-(),130,0.0,0.5,0.1541716754436493
p4.A$FastScanner-nextInt-(),159,p4.A-run-(),2,0.0,0.5,0.1541716754436493
p4.A$FastScanner-nextInt-(),159,p9.Main2$1-accept-(java.io.File+java.lang.String),8,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-read-(),6,p9.FastScanner-next-(),41,0.0,0.5,0.1541716754436493
p4.A$FastScanner-nextInt-(),159,p9.FastScanner-readLine-(),274,1.0,0.0,0.27953794598579407
p9.FastScanner-nextInt-(),424,p9.FastScanner-readLine-(),274,1.0,0.0,0.27953794598579407
p9.FastScanner-next-(),185,p9.TaskA-solve-(I+p9.FastScanner+p9.FastPrinter),31,0.0,0.5,0.1541716754436493
